player_id,player_name,minutes,goals,assists,goals_per_90,assists_per_90,date,market_value_in_eur,date_of_birth,position,current_club_name,current_club_domestic_competition_id,age,actual_value_m,clean_name,birth_year,Born,position_group,xG,xAG,PrgC,PrgP,PrgR,Sh,club,league,xG_per_90,xAG_per_90,PrgC_per_90,PrgP_per_90,PrgR_per_90,Sh_per_90,predicted_value_m,value_gap_m,undervaluation_pct
625047,Beñat Prados,1721,1,0,0.052295177222545,0.0,2025-06-09,18000000.0,2001-02-08,Midfield,Athletic Bilbao,ES1,24.38877481177276,18.0,benat prados,2001,2001.0,Midfield,1.0,1.1,20,78,32,16,Athletic Bilbao,La Liga,0.05229517722254503,0.05752469494479954,1.0459035444509006,4.079023823358513,1.673445671121441,0.8367228355607205,11.249408760683764,-6.750591239316236,-37.50328466286798
191056,Brice Samba,2880,0,0,0.0,0.0,2025-06-03,12000000.0,1994-04-25,Goalkeeper,Stade Rennais FC,FR1,31.1813826146475,12.0,brice samba,1994,1994.0,Goalkeeper,0.0,0.0,0,2,0,0,Stade Rennais FC,Ligue 1,0.0,0.0,0.0,0.0625,0.0,0.0,5.225548511673509,-6.774451488326491,-56.45376240272076
333014,Sander Berge,2227,0,0,0.0,0.0,2025-05-30,25000000.0,1998-02-14,Midfield,Fulham FC,GB1,27.37303216974675,25.0,sander berge,1998,1998.0,Midfield,0.4,0.6,29,124,9,3,Fulham FC,Premier League,0.016165244723843737,0.024247867085765602,1.1719802424786707,5.011225864391558,0.3637180062864841,0.12123933542882803,18.198551214526226,-6.801448785473774,-27.205795141895095
128223,Álvaro Morata,1104,5,1,0.4076086956521739,0.0815217391304347,2025-06-18,11000000.0,1992-10-23,Attack,Como 1907,IT1,32.68446269678302,11.0,alvaro morata,1992,1992.0,Attack,3.9,0.8,18,26,63,27,Como 1907,Serie A,0.3179347826086957,0.06521739130434782,1.467391304347826,2.119565217391304,5.135869565217391,2.2010869565217392,4.190028452103451,-6.809971547896549,-61.908832253604984
938729,Mikel Jauregizar,2243,2,2,0.0802496656263932,0.0802496656263932,2025-06-09,30000000.0,2003-11-13,Midfield,Athletic Bilbao,ES1,21.6290212183436,30.0,mikel jauregizar,2003,2003.0,Midfield,1.1,1.4,14,118,31,21,Athletic Bilbao,La Liga,0.04413731609451628,0.05617476593847526,0.5617476593847526,4.7347302719572,1.243869817209095,0.8426214890771289,23.14475348725349,-6.855246512746511,-22.850821709155035
569383,Chrislain Matsima,2551,1,1,0.0352802822422579,0.0352802822422579,2025-06-05,22000000.0,2002-05-15,Defender,FC Augsburg,L1,23.12662559890486,22.0,chrislain matsima,2002,2002.0,Defender,1.8,0.3,14,84,13,14,FC Augsburg,Bundesliga,0.06350450803606429,0.010584084672677381,0.49392395139161116,2.9635437083496665,0.4586436691493532,0.49392395139161116,15.070760360010366,-6.929239639989634,-31.496543818134697
845654,Kenan Yıldız,2409,7,5,0.261519302615193,0.186799501867995,2025-06-17,50000000.0,2005-05-04,Attack,Juventus FC,IT1,20.15605749486653,50.0,kenan yldz,2005,2005.0,Attack,4.3,5.0,115,121,223,61,Juventus FC,Serie A,0.16064757160647572,0.18679950186799504,4.296388542963886,4.520547945205479,8.331257783312578,2.278953922789539,43.01660594035592,-6.983394059644077,-13.966788119288154
493003,Daniel Muñoz,3232,4,6,0.1113861386138613,0.167079207920792,2025-05-30,25000000.0,1996-05-26,Defender,Crystal Palace,GB1,29.09514031485284,25.0,daniel munoz,1996,1996.0,Defender,4.9,5.5,62,97,206,37,Crystal Palace,Premier League,0.1364480198019802,0.1531559405940594,1.7264851485148514,2.7011138613861387,5.736386138613861,1.0303217821782178,17.990934997409994,-7.009065002590006,-28.036260010360024
203394,Andreas Pereira,2026,2,6,0.0888450148075024,0.2665350444225074,2025-05-30,18000000.0,1996-01-01,Midfield,Sociedade Esportiva Palmeiras,BRA1,29.49486652977413,18.0,andreas pereira,1996,1996.0,Midfield,3.8,4.6,29,104,81,38,Sociedade Esportiva Palmeiras,,0.1688055281342547,0.20434353405725567,1.2882527147087859,4.619940769990128,3.59822309970385,1.688055281342547,10.974786287786285,-7.025213712213715,-39.028965067853974
250426,Adam Armstrong,1254,2,2,0.1435406698564593,0.1435406698564593,2025-05-27,12000000.0,1997-02-10,Attack,Wolverhampton Wanderers,GB1,28.383299110198493,12.0,adam armstrong,1997,1997.0,Attack,3.3,1.2,25,21,79,25,Wolverhampton Wanderers,Premier League,0.23684210526315788,0.08612440191387559,1.7942583732057418,1.507177033492823,5.669856459330144,1.7942583732057418,4.933240385540386,-7.066759614459614,-58.889663453830124
